title,description,event_date,city,participants
"Festival de Tecnologia Recife","Evento sobre inovação e startups","2025-07-01T19:00:00Z","Recife","Ana;Bruno;Carla"
"Encontro de Devs Backend","Meetup focado em APIs e microsserviços","2025-07-02T18:30:00Z","Recife","João;Marina"
"Mostra de Cinema Independente","Exibição de curtas e debate com diretores","2025-07-03T20:00:00Z","Olinda","Pedro;Luiza;Rafa"
"Feira de Jogos Indie","Apresentação de jogos independentes de estúdio local","2025-07-04T15:00:00Z","Recife","Caio;Bianca"
"Simpósio de IA Aplicada","Palestras sobre inteligência artificial no dia a dia","2025-07-05T09:00:00Z","Recife","Ana;Felipe;Joana"
"Workshop de UX Design","Oficina prática de experiência do usuário","2025-07-06T14:00:00Z","Olinda","Marcos;Tainá"
"Hackathon Social","Maratona de programação com foco em impacto social","2025-07-07T08:00:00Z","Recife","Bruno;Carla;Diego"
"Encontro de Comunidade Python","Talks e lightning talks sobre Python","2025-07-08T19:30:00Z","Caruaru","João;Fernanda"
"Festival de Cultura Digital","Painéis sobre cultura, arte e tecnologia","2025-07-09T16:00:00Z","Recife","Helena;Igor"
"Meetup DevOps e Observabilidade","Discussão sobre logs, métricas e tracing","2025-07-10T19:00:00Z","Recife","Lucas;Marina"
"Rodada de Pitch Startups","Apresentação de startups para investidores","2025-07-11T10:00:00Z","Recife","Ana;Pedro"
"Oficina de Podcasting","Como gravar, editar e publicar podcasts","2025-07-12T14:30:00Z","Olinda","Rafa;Bianca"
"Jornada de Dados e Analytics","Eventos focados em ciência de dados e BI","2025-07-13T09:30:00Z","Recife","Felipe;Carla"
"Encontro Frontend Experience","Palestras sobre React, acessibilidade e UI","2025-07-14T18:00:00Z","Recife","Tainá;Marcos"
"Mini Conferência IoT","Casos de uso de IoT em cidades inteligentes","2025-07-15T08:30:00Z","Recife","Diego;Luiza"
"Mostra de Projetos Universitários","Apresentação de TCCs e projetos de pesquisa","2025-07-16T15:30:00Z","Caruaru","João;Helena"
"Semana de Cibercultura","Debates sobre cultura digital e redes sociais","2025-07-17T19:00:00Z","Recife","Igor;Rafa"
"Game Jam 48h","Criação de jogos em equipe durante 48 horas","2025-07-18T20:00:00Z","Recife","Lucas;Pedro"
"Fórum de Transformação Digital","Painéis com empresas e gov sobre transformação digital","2025-07-19T09:00:00Z","Recife","Ana;Bruno;Fernanda"
"Encontro de Comunidade Open Source","Discussão de projetos open source e colaboração","2025-07-20T17:00:00Z","Olinda","Helena;Diego"
"Summit de Inovação Pernambucana","Encontro entre startups e investidores","2026-03-05T09:00:00Z","Recife","Ana;Bruno;Rafa"
"Conferência de Cidades Inteligentes","Painéis sobre mobilidade e IoT urbana","2026-03-10T10:30:00Z","Olinda","Marina;Diego"
"Festival de Realidade Aumentada","Experiências imersivas e oficinas práticas","2026-03-15T14:00:00Z","Recife","Lucas;Tainá"
"Semana de Robótica Educacional","Competições, palestras e workshops","2026-03-20T08:00:00Z","Caruaru","João;Helena;Bianca"
"Mostra Maker Brasil","Exposição de projetos DIY e eletrônica","2026-03-25T09:30:00Z","Recife","Pedro;Caio"
"Conferência Feminina de Tecnologia","Mulheres líderes em tecnologia e inovação","2026-03-28T18:00:00Z","Recife","Luiza;Fernanda"
"Maratona de Design Estratégico","Sprint intensivo de solução de problemas com design","2026-04-02T09:00:00Z","Olinda","Marcos;Joana"
"Fórum de Tecnologia Assistiva","Novas tecnologias para acessibilidade e inclusão","2026-04-05T15:00:00Z","Recife","Igor;Helena"
"ExpoGames Nordeste","Lançamentos e testes de jogos digitais","2026-04-10T13:00:00Z","Recife","Rafa;Diego"
"Hackathon Verde","Projetos de sustentabilidade e impacto ambiental","2026-04-15T07:00:00Z","Recife","Ana;Bruno;Tainá"
