title,description,status,start_time,end_time,timezone,city,age_restriction,participants
"Festival de Tecnologia Recife","Evento sobre inovação e startups","published","2025-07-01T19:00:00Z","2025-07-01T21:00:00Z","America/Recife","Recife","Livre","Ana;Bruno;Carla"
"Encontro de Devs Backend","Meetup focado em APIs e microsserviços","published","2025-07-02T18:30:00Z","2025-07-02T20:30:00Z","America/Recife","Recife","Livre","João;Marina"
"Mostra de Cinema Independente","Exibição de curtas e debate com diretores","published","2025-07-03T20:00:00Z","2025-07-03T22:00:00Z","America/Recife","Olinda","Livre","Pedro;Luiza;Rafa"
"Feira de Jogos Indie","Apresentação de jogos independentes de estúdio local","published","2025-07-04T15:00:00Z","2025-07-04T17:00:00Z","America/Recife","Recife","Livre","Caio;Bianca"
"Simpósio de IA Aplicada","Palestras sobre inteligência artificial no dia a dia","published","2025-07-05T09:00:00Z","2025-07-05T11:00:00Z","America/Recife","Recife","Livre","Ana;Felipe;Joana"
"Workshop de UX Design","Oficina prática de experiência do usuário","published","2025-07-06T14:00:00Z","2025-07-06T16:00:00Z","America/Recife","Olinda","Livre","Marcos;Tainá"
"Hackathon Social","Maratona de programação com foco em impacto social","published","2025-07-07T08:00:00Z","2025-07-07T10:00:00Z","America/Recife","Recife","Livre","Bruno;Carla;Diego"
"Encontro de Comunidade Python","Talks e lightning talks sobre Python","published","2025-07-08T19:30:00Z","2025-07-08T21:30:00Z","America/Recife","Caruaru","Livre","João;Fernanda"
"Festival de Cultura Digital","Painéis sobre cultura, arte e tecnologia","published","2025-07-09T16:00:00Z","2025-07-09T18:00:00Z","America/Recife","Recife","Livre","Helena;Igor"
"Meetup DevOps e Observabilidade","Discussão sobre logs, métricas e tracing","published","2025-07-10T19:00:00Z","2025-07-10T21:00:00Z","America/Recife","Recife","Livre","Lucas;Marina"
"Rodada de Pitch Startups","Apresentação de startups para investidores","published","2025-07-11T10:00:00Z","2025-07-11T12:00:00Z","America/Recife","Recife","Livre","Ana;Pedro"
"Oficina de Podcasting","Como gravar, editar e publicar podcasts","published","2025-07-12T14:30:00Z","2025-07-12T16:30:00Z","America/Recife","Olinda","Livre","Rafa;Bianca"
"Jornada de Dados e Analytics","Eventos focados em ciência de dados e BI","published","2025-07-13T09:30:00Z","2025-07-13T11:30:00Z","America/Recife","Recife","Livre","Felipe;Carla"
"Encontro Frontend Experience","Palestras sobre React, acessibilidade e UI","published","2025-07-14T18:00:00Z","2025-07-14T20:00:00Z","America/Recife","Recife","Livre","Tainá;Marcos"
"Mini Conferência IoT","Casos de uso de IoT em cidades inteligentes","published","2025-07-15T08:30:00Z","2025-07-15T10:30:00Z","America/Recife","Recife","Livre","Diego;Luiza"
"Mostra de Projetos Universitários","Apresentação de TCCs e projetos de pesquisa","published","2025-07-16T15:30:00Z","2025-07-16T17:30:00Z","America/Recife","Caruaru","Livre","João;Helena"
"Semana de Cibercultura","Debates sobre cultura digital e redes sociais","published","2025-07-17T19:00:00Z","2025-07-17T21:00:00Z","America/Recife","Recife","Livre","Igor;Rafa"
"Game Jam 48h","Criação de jogos em equipe durante 48 horas","published","2025-07-18T20:00:00Z","2025-07-18T22:00:00Z","America/Recife","Recife","Livre","Lucas;Pedro"
"Fórum de Transformação Digital","Painéis com empresas e gov sobre transformação digital","published","2025-07-19T09:00:00Z","2025-07-19T11:00:00Z","America/Recife","Recife","Livre","Ana;Bruno;Fernanda"
"Encontro de Comunidade Open Source","Discussão de projetos open source e colaboração","published","2025-07-20T17:00:00Z","2025-07-20T19:00:00Z","America/Recife","Olinda","Livre","Helena;Diego"
"Summit de Inovação Pernambucana","Encontro entre startups e investidores","published","2026-03-05T09:00:00Z","2026-03-05T11:00:00Z","America/Recife","Recife","Livre","Ana;Bruno;Rafa"
"Conferência de Cidades Inteligentes","Painéis sobre mobilidade e IoT urbana","published","2026-03-10T10:30:00Z","2026-03-10T12:30:00Z","America/Recife","Olinda","Livre","Marina;Diego"
"Festival de Realidade Aumentada","Experiências imersivas e oficinas práticas","published","2026-03-15T14:00:00Z","2026-03-15T16:00:00Z","America/Recife","Recife","Livre","Lucas;Tainá"
"Semana de Robótica Educacional","Competições, palestras e workshops","published","2026-03-20T08:00:00Z","2026-03-20T10:00:00Z","America/Recife","Caruaru","Livre","João;Helena;Bianca"
"Mostra Maker Brasil","Exposição de projetos DIY e eletrônica","published","2026-03-25T09:30:00Z","2026-03-25T11:30:00Z","America/Recife","Recife","Livre","Pedro;Caio"
"Conferência Feminina de Tecnologia","Mulheres líderes em tecnologia e inovação","published","2026-03-28T18:00:00Z","2026-03-28T20:00:00Z","America/Recife","Recife","Livre","Luiza;Fernanda"
"Maratona de Design Estratégico","Sprint intensivo de solução de problemas com design","published","2026-04-02T09:00:00Z","2026-04-02T11:00:00Z","America/Recife","Olinda","Livre","Marcos;Joana"
"Fórum de Tecnologia Assistiva","Novas tecnologias para acessibilidade e inclusão","published","2026-04-05T15:00:00Z","2026-04-05T17:00:00Z","America/Recife","Recife","Livre","Igor;Helena"
"ExpoGames Nordeste","Lançamentos e testes de jogos digitais","published","2026-04-10T13:00:00Z","2026-04-10T15:00:00Z","America/Recife","Recife","Livre","Rafa;Diego"
"Hackathon Verde","Projetos de sustentabilidade e impacto ambiental","published","2026-04-15T07:00:00Z","2026-04-15T09:00:00Z","America/Recife","Recife","Livre","Ana;Bruno;Tainá"
