location_name,capacity,venue_type,is_accessible,address
Teatro Municipal Paudalho,450,,true,Rua do Teatro 123 - Centro - Paudalho/PE
Auditório Centro Cultural Mata Norte,320,,true,Avenida Principal 45 - Centro - Paudalho/PE
Praça do Coreto,800,,false,Praca do Coreto - Centro - Paudalho/PE
Ginásio Poliesportivo Paudalho,1500,,true,Rua do Esporte 200 - Bairro Novo - Paudalho/PE
Escola Municipal Otávio Gusmão - Pátio,300,,true,Rua da Escola 10 - Centro - Paudalho/PE
Centro de Convenções Paudalho,2000,,true,Rodovia BR-408 km 12 - Paudalho/PE
Cine Teatro Linda Flor,280,,true,Rua das Flores 77 - Centro - Paudalho/PE
Quadra Coberta Alto Dois Irmãos,600,,false,Rua do Alto 50 - Alto Dois Irmãos - Paudalho/PE
Salão Paroquial Matriz,250,,false,Rua da Matriz 5 - Centro - Paudalho/PE
Galpão de Eventos Estação,900,,false,Rua da Estacao 300 - Estacao - Paudalho/PE
Arena de Shows Paudalho,3000,,false,Anel Viario S/N - Paudalho/PE
Espaço Cultural 11:11 Studio,120,,true,Rua do Estudio 11 - Centro - Paudalho/PE
Parque de Exposições Paudalho,2200,,false,Rodovia PE-027 km 3 - Paudalho/PE
Clube Social Paudalhense,400,,true,Rua do Clube 90 - Centro - Paudalho/PE
Sede do Maracatu Leão da Mata,180,,false,Rua da Mata 60 - Bairro Verde - Paudalho/PE
Sítio Desterro - Campo Aberto,700,,false,Estrada de Desterro S/N - Zona Rural - Paudalho/PE
Praça São Severino,850,,false,Praca Sao Severino - Centro - Paudalho/PE
Auditório da UFPE Campus Mata Norte,260,,true,Av Universitaria 1000 - Campus Mata Norte - Nazaré da Mata/PE
Teatro de Rua Loteamento Primavera,500,,false,Rua Primavera 40 - Loteamento Primavera - Paudalho/PE
Galeria de Arte Linda Flor,90,,true,Rua das Artes 33 - Centro - Paudalho/PE
Sede 22 de Novembro,200,,false,Rua 22 de Novembro 22 - Centro - Paudalho/PE
Espaço Comunitário Primavera,220,,true,Rua Principal 12 - Loteamento Primavera - Paudalho/PE
Pátio da Feira Livre,1000,,false,Rua da Feira 1 - Centro - Paudalho/PE
Ilha do Rio Capibaribe - Margem,600,,false,Beira Rio S/N - Paudalho/PE
Espaço Multiuso Paudalho Shopping,350,,true,Rua do Comercio 200 - Centro - Paudalho/PE
Centro Esportivo Municipal,1300,,true,Rua do Estadio 300 - Bairro Novo - Paudalho/PE
Anfiteatro ao Ar Livre Paudalho,750,,false,Parque Central S/N - Paudalho/PE
Escola Rural Rusarinho - Quadra,280,,false,Estrada de Rusarinho S/N - Zona Rural - Paudalho/PE
Biblioteca Pública Municipal - Hall,110,,true,Rua da Cultura 8 - Centro - Paudalho/PE
Largo da Estação Ferroviária,900,,false,Largo da Estacao - Centro - Paudalho/PE
